accession_id,replicate_id,FT16,FT10
10000,6520,54.5,61.0
100000,6521,48.25,71.6666666667
10001,6522,49.5,68.75
10002,6523,42.5,61.0
10003,6524,57.66666667,81.25
10004,6525,79.0,81.75
10005,6526,67.25,76.6666666667
10006,6527,131.5,113.5
10007,6528,61.25,75.0
10008,6529,73.0,79.25
10009,6530,77.75,80.75
10010,6531,75.25,85.0
10011,6532,65.25,71.0
10012,6533,105.6666667,113.5
10013,6534,100.0,92.25
10014,6535,132.0,96.75
10015,6536,51.25,69.75
10016,6537,72.0,89.0
10017,6538,76.5,87.5
10018,6539,81.33333333,90.0
10019,6540,42.0,60.5
1002,6541,86.25,102.75
10020,6542,48.0,72.5
10021,6543,44.0,59.5
10022,6544,45.25,73.5
10023,6545,90.0,96.25
10024,6546,43.25,64.0
10025,6547,45.5,62.25
10026,6548,49.5,63.0
1061,6549,94.75,97.75
1062,6550,68.25,94.0
1063,6551,64.25,84.0
1066,6552,,128.0
1074,6553,90.75,98.25
108,6554,52.25,70.0
1137,6555,107.6666667,111.25
1158,6556,88.0,98.75
1254,6557,106.0,92.0
1257,6558,93.25,94.6666666667
1317,6559,102.0,104.25
1318,6560,123.0,89.75
1363,6561,96.0,104.75
1367,6562,88.75,101.75
139,6563,52.75,68.75
1435,6564,45.66666667,72.25
1552,6565,115.3333333,104.0
1585,6566,103.25,103.5
159,6567,56.75,72.0
1829,6568,99.0,94.75
1853,6569,69.33333333,71.5
1872,6570,82.5,80.25
1890,6571,75.75,101.0
1925,6572,89.5,89.5
1954,6573,101.0,93.0
2016,6574,69.75,77.5
2171,6575,82.5,79.0
2202,6576,96.5,97.75
2276,6577,84.25,83.0
2278,6578,85.0,79.25
2317,6579,53.5,77.0
265,6580,47.25,63.5
350,6581,51.5,68.5
351,6582,65.33333333,69.25
403,6583,54.25,63.5
410,6584,65.25,76.0
424,6585,68.25,83.25
428,6586,59.0,75.75
430,6587,55.0,92.3333333333
4779,6588,50.25,68.6666666667
4807,6589,87.5,79.75
4826,6590,51.0,60.0
4884,6591,49.5,70.25
4900,6592,50.25,71.0
4931,6593,48.0,62.75
4958,6594,100.25,91.25
5023,6595,43.75,61.0
5104,6596,40.75,60.0
5151,6597,73.66666667,81.75
5165,6598,81.75,86.5
5210,6599,78.0,96.0
5236,6600,43.5,58.5
5253,6601,38.0,62.75
5276,6602,49.75,74.5
5349,6603,97.33333333,92.0
5353,6604,62.5,71.0
5470,6605,,154.6666666667
5486,6606,37.5,60.5
5506,6607,132.0,125.0
5535,6608,70.75,81.5
5577,6609,51.0,66.75
5644,6610,46.25,60.75
5720,6611,63.33333333,92.0
5726,6612,48.0,74.0
5741,6613,88.5,97.25
5748,6614,41.75,60.75
5757,6615,66.66666667,87.75
5768,6616,85.0,96.25
5772,6617,49.0,66.75
5778,6618,42.5,66.25
5779,6619,67.0,90.5
5784,6620,69.25,101.75
5800,6621,39.0,61.75
5811,6622,46.0,72.0
5818,6623,40.33333333,65.75
5822,6624,111.0,112.75
5829,6625,53.66666667,66.75
5830,6626,75.33333333,97.75
5831,6627,93.0,99.5
5832,6628,87.33333333,88.5
5835,6629,43.5,73.0
5837,6630,55.25,80.5
5856,6631,,119.0
5865,6632,101.0,109.75
5867,6633,,130.5
5874,6634,69.25,78.0
5890,6635,55.25,78.25
5893,6636,64.25,73.75
5907,6637,48.5,66.5
5921,6638,55.75,82.5
5950,6639,65.5,81.25
5964,6640,56.5,72.5
5984,6641,41.75,66.75
5993,6642,64.75,82.5
6008,6643,43.0,73.5
6009,6644,113.5,103.0
6011,6645,112.5,97.3333333333
6012,6646,125.0,102.0
6013,6647,93.0,93.75
6016,6648,83.5,87.3333333333
6017,6649,104.0,96.5
6019,6650,,103.5
6020,6651,87.25,94.0
6021,6652,87.0,94.25
6023,6653,89.25,93.75
6024,6654,116.0,106.75
6025,6655,,129.25
6030,6656,129.0,107.25
6034,6657,80.5,102.75
6035,6658,73.75,83.0
6036,6659,86.33333333,94.25
6038,6660,77.25,91.25
6039,6661,62.0,91.0
6040,6662,82.5,93.25
6041,6663,51.5,78.75
6042,6664,43.0,63.5
6043,6665,130.6666667,110.0
6046,6666,117.0,117.25
6064,6667,129.5,103.6666666667
6069,6668,139.0,107.25
6070,6669,119.3333333,106.75
6071,6670,139.5,120.75
6073,6671,96.5,102.25
6074,6672,85.75,101.0
6076,6673,110.5,121.5
6085,6674,128.0,124.25
6086,6675,100.75,100.5
6088,6676,128.0,107.6666666667
6090,6677,105.0,94.75
6092,6678,89.5,103.0
6094,6679,92.66666667,101.75
6097,6680,94.0,114.5
6098,6681,105.0,112.25
6099,6682,113.6666667,117.0
6100,6683,108.3333333,102.0
6102,6684,103.5,122.3333333333
6104,6685,109.5,100.0
6105,6686,87.66666667,97.75
6106,6687,94.75,102.0
6107,6688,105.25,119.0
6108,6689,52.75,78.75
6109,6690,99.0,100.75
6111,6691,93.66666667,111.75
6112,6692,76.75,94.5
6113,6693,,132.6666666667
6114,6694,92.0,97.0
6115,6695,74.75,97.5
6118,6696,99.25,98.25
6122,6697,90.0,101.5
6124,6698,106.0,129.5
6125,6699,100.0,106.25
6126,6700,89.0,103.25
6127,6701,132.6666667,124.0
6128,6702,113.0,122.3333333333
6129,6703,131.0,109.75
6131,6704,137.0,119.0
6132,6705,102.5,106.0
6133,6706,91.75,111.75
6134,6707,100.3333333,110.0
6136,6708,84.5,96.5
6137,6709,87.75,92.5
6138,6710,90.75,97.0
6140,6711,103.25,98.75
6142,6712,107.5,98.5
6145,6713,111.5,116.0
6148,6714,105.6666667,105.0
6149,6715,99.0,106.0
6150,6716,101.6666667,111.3333333333
6151,6717,103.3333333,99.5
6153,6718,116.0,149.25
6154,6719,,149.3333333333
6163,6720,,157.5
6166,6721,,144.0
6169,6722,113.5,116.0
6171,6723,108.0,103.25
6172,6724,114.0,110.5
6173,6725,101.0,91.75
6174,6726,128.0,100.0
