ID	PubescenceColor	fix
SRX2892167	1	1
SRX2892180	2	1
SRX2892181	1	1
SRX2892182	1	1
SRX2892183	1	1
SRX2892184	2	1
SRX2892187	2	1
SRX2892188	2	1
SRX2892189	1	1
SRX2892190	1	1
SRX2892191	1	1
SRX2892192	2	1
SRX2892193	2	1
SRX2892194	2	1
SRX2892195	1	1
SRX2892196	1	1
SRX2892197	2	1
SRX2892198	2	1
SRX2892199	1	1
SRX2892200	2	1
SRX2892201	2	1
SRX2892202	2	1
SRX2892203	1	1
SRX2892204	2	1
SRX2892205	2	1
SRX2892206	1	1
SRX2892207	1	1
SRX2892208	1	1
SRX2892209	1	1
SRX2892210	1	1
SRX2892211	1	1
SRX2892212	1	1
SRX2892213	1	1
SRX2892214	1	1
SRX2892215	1	1
SRX2892216	1	1
SRX2892217	2	1
SRX2892218	1	1
SRX2892219	1	1
SRX2892220	2	1
SRX2892221	2	1
SRX2892222	2	1
SRX2892223	2	1
SRX2892224	1	1
SRX2892225	1	1
SRX2892226	2	1
SRX2892227	2	1
SRX2892228	2	1
SRX2892229	2	1
SRX2892230	1	1
SRX2892231	1	1
SRX2892232	2	1
SRX2892233	1	1
SRX2892234	2	1
SRX2892235	1	1
SRX2892236	2	1
SRX2892237	2	1
SRX2892238	2	1
SRX2892239	1	1
SRX2892240	2	1
SRX2892241	1	1
SRX2892242	2	1
SRX2892243	1	1
SRX2892244	2	1
SRX2892245	1	1
SRX2892246	1	1
SRX2892247	1	1
SRX2892248	2	1
SRX2892249	1	1
SRX2892250	1	1
SRX2892251	1	1
SRX2892252	1	1
SRX2892253	1	1
SRX2892254	2	1
SRX2892255	2	1
SRX4045275	1	1
SRX4045276	2	1
SRX4045277	2	1
SRX4045278	1	1
SRX4045279	1	1
SRX4045280	1	1
SRX4045281	1	1
SRX4045282	1	1
SRX4045283	1	1
SRX4045284	1	1
SRX4045285	1	1
SRX4045286	1	1
SRX4045287	1	1
SRX4045288	1	1
SRX4045289	1	1
SRX4045290	2	1
SRX4045291	1	1
SRX4045292	1	1
SRX4045293	2	1
SRX4045294	2	1
SRX4045295	2	1
SRX4045296	2	1
SRX4045297	2	1
SRX4045298	1	1
SRX4045299	1	1
SRX4045300	2	1
SRX4045301	2	1
SRX4045302	2	1
SRX4045303	2	1
SRX4045304	1	1
SRX4045305	1	1
SRX4045306	2	1
SRX4045307	1	1
SRX4045308	2	1
SRX4045309	2	1
SRX4045310	1	1
SRX4045311	2	1
SRX4045312	2	1
SRX4045313	2	1
SRX4045314	1	1
SRX4045315	2	1
SRX4045316	1	1
SRX4045317	2	1
SRX4045318	1	1
SRX4045319	1	1
SRX4045320	2	1
SRX4045321	1	1
SRX4045322	1	1
SRX4045323	1	1
SRX4045324	2	1
SRX4045325	1	1
SRX4045326	1	1
SRX4045327	1	1
SRX4045328	1	1
SRX4045329	1	1
SRX4045330	2	1
SRX4045331	2	1
SRX4045332	2	1
SRX4045333	2	1
SRX4045334	2	1
SRX4045335	1	1
SRX4045348	1	1
SRX4045361	2	1
SRX4045362	1	1
SRX4045363	1	1
SRX4045364	1	1
SRX4045365	2	1
SRX4045368	2	1
SRX4045369	2	1
SRX4045370	1	1
SRX4045371	1	1
SRX4045372	1	1
SRX4045373	2	1
SRX4045374	2	1
SRX4045375	2	1
