Name	Chromosome	Position
AT1G01010	1	3631
AT1G01020	1	5928
AT1G01030	1	11649
AT1G01040	1	23146
AT1G01046	1	28500
AT1G01050	1	31170
AT1G01060	1	33379
AT1G01070	1	38752
AT1G01073	1	44677
AT1G01080	1	45296
AT1G01090	1	47485
AT1G01100	1	50075
AT1G01110	1	52239
AT1G01115	1	56624
AT1G01120	1	57269
AT1G01130	1	61905
AT1G01140	1	64166
AT1G01150	1	70115
AT1G01160	1	72339
AT1G01170	1	73931
AT1G01180	1	75583
AT1G01183	1	78932
AT1G01190	1	83045
AT1G01200	1	86515
AT1G01210	1	88898
AT1G01220	1	91376
AT1G01225	1	95987
AT1G01230	1	97456
AT1G01240	1	99894
AT1G01250	1	104491
AT1G01260	1	108946
AT1G01270	1	111890
AT1G01280	1	112263
AT1G01290	1	114286
AT1G01300	1	116943
AT1G01305	1	119397
AT1G01310	1	120154
AT1G01320	1	121067
AT1G01340	1	132328
AT1G01350	1	136124
AT1G01355	1	138513
AT1G01360	1	141971
AT1G01370	1	143564
AT1G01380	1	147153
AT1G01390	1	148120
AT1G01400	1	150689
AT1G01410	1	153113
AT1G01420	1	154492
AT1G01430	1	156801
AT1G01440	1	159856
AT1G01448	1	163419
AT1G01450	1	164105
AT1G01453	1	166589
AT1G01460	1	168723
AT1G01470	1	172146
AT1G01471	1	173251
AT1G01480	1	175782
AT1G01490	1	180059
AT1G01500	1	185133
AT1G01510	1	187211
AT1G01520	1	190596
AT1G01530	1	192640
AT1G01540	1	195780
AT1G01550	1	199639
AT1G01560	1	202136
AT1G01570	1	205176
AT1G01580	1	209395
AT1G01590	1	214229
AT1G01600	1	218994
AT1G01610	1	221691
AT1G01620	1	225665
AT1G01630	1	229013
AT1G01640	1	230994
AT1G01650	1	232841
AT1G01660	1	240057
AT1G01670	1	242843
AT1G01680	1	246411
AT1G01690	1	249141
AT1G01695	1	252947
AT1G01700	1	259495
AT1G01710	1	262828
AT1G01720	1	268330
AT1G01725	1	269792
AT1G01730	1	270956
AT1G01740	1	272111
AT1G01750	1	275366
AT1G01760	1	276266
AT1G01770	1	278615
AT1G01780	1	282761
AT1G01790	1	284610
AT1G01800	1	293342
AT1G01810	1	295221
AT1G01820	1	296001
AT1G01830	1	298535
AT1G01840	1	303537
AT1G01860	1	304133
AT1G01870	1	306384
AT1G01880	1	306480
AT1G01890	1	309275
AT1G01900	1	310316
AT1G01910	1	313101
AT1G01920	1	316128
AT1G01930	1	319836
AT1G01940	1	323027
AT1G01950	1	325379
AT1G01960	1	330588
AT1G01970	1	338291
AT1G01980	1	340172
AT1G01990	1	343166
AT1G02000	1	345812
AT1G02010	1	347891
AT1G02020	1	352637
AT1G02030	1	355321
AT1G02040	1	358104
AT1G02050	1	359117
AT1G02060	1	360918
AT1G02065	1	365209
AT1G02070	1	370257
AT1G02074	1	372064
AT1G02080	1	373335
AT1G02090	1	387277
AT1G02100	1	389812
AT1G02110	1	392831
AT1G02120	1	395761
AT1G02130	1	400035
AT1G02140	1	403190
AT1G02145	1	404600
AT1G02150	1	408622
AT1G02160	1	410748
AT1G02170	1	411779
AT1G02180	1	413522
AT1G02190	1	415079
AT1G02205	1	418748
AT1G02210	1	427548
AT1G02220	1	428814
AT1G02230	1	435174
AT1G02250	1	437951
AT1G02260	1	440441
AT1G02270	1	443149
AT1G02280	1	448463
AT1G02290	1	450527
AT1G02300	1	453288
AT1G02305	1	455688
AT1G02310	1	458133
AT1G02320	1	461828
AT1G02330	1	462075
AT1G02335	1	463855
AT1G02340	1	465718
AT1G02350	1	469818
AT1G02360	1	471990
AT1G02370	1	474500
AT1G02380	1	477000
AT1G02390	1	480852
AT1G02391	1	483764
AT1G02400	1	486801
AT1G02405	1	489979
AT1G02410	1	490925
AT1G02420	1	493683
AT1G02430	1	495050
AT1G02440	1	496586
AT1G02450	1	497976
AT1G02460	1	504673
AT1G02470	1	511765
AT1G02475	1	513843
AT1G02480	1	515494
AT1G02490	1	516618
AT1G02500	1	518251
AT1G02510	1	520498
AT1G02520	1	523651
AT1G02530	1	529795
AT1G02540	1	534827
AT1G02550	1	536483
AT1G02560	1	537860
AT1G02570	1	541335
AT1G02575	1	543110
AT1G02580	1	544783
AT1G02590	1	552138
AT1G02600	1	552640
AT1G02610	1	553050
AT1G02620	1	557092
AT1G02630	1	560610
AT1G02640	1	564205
AT1G02650	1	568704
AT1G02660	1	571955
AT1G02670	1	576046
AT1G02680	1	580625
