"SNP","Chromosome","Position ","P.value","maf","nobs","Rsquare.of.Model.without.SNP","Rsquare.of.Model.with.SNP","effect","FDR"
"AT1G01010",1,3631,0.314841231682957,0.414186946760579,690,0.582062581365946,0.582678972783797,2.59733224150841,0.999326526413139
"AT1G01020",1,5928,0.994225630634216,0.444870481151788,690,0.582062581365946,0.582062613299021,-0.0135274127642333,0.999326526413139
"AT1G01030",1,11649,0.950917221189882,0.442582035294447,690,0.582062581365946,0.582064891471821,0.116505186475479,0.999326526413139
"AT1G01040",1,23146,0.651669354518821,0.418661875163872,690,0.582062581365946,0.582186854472733,0.915817813729518,0.999326526413139
"AT1G01046",1,28500,0.0159674918001796,0.410607054121447,690,0.582062581365946,0.585617731547506,-3.91206997175323,0.999326526413139
"AT1G01050",1,31170,0.400472877940854,0.404284335729335,690,0.582062581365946,0.582493792563177,2.92640620199381,0.999326526413139
"AT1G01060",1,33379,0.873885159080418,0.267072609947275,690,0.582062581365946,0.582077941869636,-0.522087634490163,0.999326526413139
"AT1G01070",1,38752,0.209579869049586,0.426112926982196,690,0.582062581365946,0.583023525867257,-2.50860261417802,0.999326526413139
"AT1G01080",1,45296,0.356969259445973,0.491176108828222,690,0.582062581365946,0.582580234917987,-2.81375795403437,0.999326526413139
"AT1G01090",1,47485,0.357294821418979,0.431055553803261,690,0.582062581365946,0.582579533975607,-2.90042233446729,0.999326526413139
"AT1G01100",1,50075,0.785135450513747,0.405215059111235,690,0.582062581365946,0.582107900762309,1.16325108721503,0.999326526413139
"AT1G01110",1,52239,0.116815846409905,0.462607097003033,690,0.582062581365946,0.583564794733574,2.97384139891255,0.999326526413139
"AT1G01120",1,57269,0.350695404580886,0.393388317517313,690,0.582062581365946,0.582593916231158,2.22210695055765,0.999326526413139
"AT1G01130",1,61905,0.542317060417513,0.314470614281579,690,0.582062581365946,0.582288995040175,1.18225336844625,0.999326526413139
"AT1G01140",1,64166,0.148407778048429,0.385056159497284,690,0.582062581365946,0.583337873616864,-3.0041817617257,0.999326526413139
"AT1G01160",1,72339,0.669436812696969,0.458902324920351,690,0.582062581365946,0.582173717977556,-0.944774067782419,0.999326526413139
"AT1G01170",1,73931,0.21659402436677,0.451668167296931,690,0.582062581365946,0.582994481537503,2.94035189574424,0.999326526413139
"AT1G01180",1,75583,0.347109582285075,0.379946135064197,690,0.582062581365946,0.58260188679715,-2.21125483640571,0.999326526413139
"AT1G01183",1,78932,0.917822771719435,0.163877373951605,690,0.582062581365946,0.582069071749529,0.124080020382053,0.999326526413139
"AT1G01190",1,83045,0.664321611054944,0.333598905106357,690,0.582062581365946,0.582177410453876,0.722516856416405,0.999326526413139
"AT1G01200",1,86515,0.267569825976966,0.38877577714495,690,0.582062581365946,0.58281265458218,2.97800945852214,0.999326526413139
"AT1G01210",1,88898,0.176394318365813,0.428066089875534,690,0.582062581365946,0.583178414481222,-2.54282297585632,0.999326526413139
"AT1G01220",1,91376,0.978221044816818,0.471145090982375,690,0.582062581365946,0.582063035732358,0.0571508697212266,0.999326526413139
"AT1G01225",1,95987,0.699258966312791,0.468470968246854,690,0.582062581365946,0.582153582764446,-0.676204318049713,0.999326526413139
"AT1G01230",1,97456,0.882827692697097,0.394623909569612,690,0.582062581365946,0.582075825421043,0.462554042831471,0.999326526413139
"AT1G01240",1,99894,0.651535040333724,0.346548491875942,690,0.582062581365946,0.582186957135378,-1.48464612432144,0.999326526413139
"AT1G01250",1,104491,0.664178113715121,0.298720087205262,690,0.582062581365946,0.582177515073062,0.986782417976428,0.999326526413139
"AT1G01260",1,108946,0.610938055880831,0.394650344587836,690,0.582062581365946,0.582220404006087,-1.17364893449485,0.999326526413139
"AT1G01290",1,114286,0.771299564697564,0.485119271490336,690,0.582062581365946,0.582114098013216,0.396964315071273,0.999326526413139
"AT1G01300",1,116943,0.711734062586076,0.433769938277938,690,0.582062581365946,0.582145842556234,1.04426308369875,0.999326526413139
"AT1G01310",1,120154,0.168556777080313,0.260144927536232,690,0.582062581365946,0.583219979121714,1.61842487355671,0.999326526413139
"AT1G01320",1,121067,0.034784777634107,0.447487620112164,690,0.582062581365946,0.58478801143574,6.01839692212161,0.999326526413139
"AT1G01340",1,132328,0.610504511986368,0.27886467957684,690,0.582062581365946,0.582220788080607,-1.63585173627143,0.999326526413139
"AT1G01350",1,136124,0.821273004487814,0.455725756714962,690,0.582062581365946,0.582093697340659,0.500303457272821,0.999326526413139
"AT1G01355",1,138513,0.596946264632654,0.270062491276884,690,0.582062581365946,0.582233099606284,-0.848752799212889,0.999326526413139
"AT1G01360",1,141971,0.733606529149258,0.36612734351768,690,0.582062581365946,0.582133204409346,-0.887545131499792,0.999326526413139
"AT1G01370",1,143564,0.969664046812114,0.397638727670746,690,0.582062581365946,0.582063463123354,-0.115420917412848,0.999326526413139
"AT1G01380",1,147153,0.459606876403358,0.331132360313554,690,0.582062581365946,0.582396120902453,-1.62134810261705,0.999326526413139
"AT1G01390",1,148120,0.595864198168676,0.329424992276546,690,0.582062581365946,0.58223410759252,-0.898337592067037,0.999326526413139
"AT1G01420",1,154492,0.640960557571074,0.393084586185748,690,0.582062581365946,0.582195201249237,-0.757657087366169,0.999326526413139
"AT1G01430",1,156801,0.0753930562931065,0.39159350493312,690,0.582062581365946,0.583994562961022,-3.91186056604965,0.999326526413139
"AT1G01440",1,159856,0.716447790708061,0.399126613381333,690,0.582062581365946,0.582143019559968,0.948029891889746,0.999326526413139
"AT1G01448",1,163419,0.687987832411587,0.422584306552226,690,0.582062581365946,0.582160917941252,0.743106280451684,0.999326526413139
"AT1G01453",1,166589,0.720680510388987,0.204957246961669,690,0.582062581365946,0.582140531512123,0.896466808309924,0.999326526413139
"AT1G01470",1,172146,0.679220384959398,0.352920322683346,690,0.582062581365946,0.582166853097755,-0.836263339513607,0.999326526413139
"AT1G01480",1,175782,0.966554396850408,0.35294864088693,690,0.582062581365946,0.582063653273,-0.0728915904910536,0.999326526413139
"AT1G01490",1,180059,0.815168833995327,0.412810455659413,690,0.582062581365946,0.582095898965055,-0.638804997157422,0.999326526413139
"AT1G01500",1,185133,0.567219637617365,0.383838138831772,690,0.582062581365946,0.582262213018782,1.93124208258814,0.999326526413139
"AT1G01510",1,187211,0.347297403691163,0.422126256324098,690,0.582062581365946,0.582601466532569,3.66000285070913,0.999326526413139
"AT1G01520",1,190596,0.367737304775979,0.236907279110624,690,0.582062581365946,0.582557508145199,-2.53061319594053,0.999326526413139
"AT1G01540",1,195780,0.911515305427725,0.469456349246746,690,0.582062581365946,0.582070110595243,0.26864581058544,0.999326526413139
"AT1G01550",1,199639,0.0952415754654195,0.370969351659865,690,0.582062581365946,0.583763071017342,-5.33817926943084,0.999326526413139
"AT1G01560",1,202136,0.681989864082704,0.279052978416201,690,0.582062581365946,0.58216495634659,-1.13965905856821,0.999326526413139
"AT1G01570",1,205176,0.8170595031606,0.29382498293337,690,0.582062581365946,0.582095208573404,-0.55059529776554,0.999326526413139
"AT1G01580",1,209395,0.827361501440991,0.202771702376456,690,0.582062581365946,0.582091580023312,-0.545734059123788,0.999326526413139
"AT1G01590",1,214229,0.48100250499439,0.298863365392258,690,0.582062581365946,0.582365453428383,1.03816005950739,0.999326526413139
"AT1G01600",1,218994,0.372422635599623,0.347387813875917,690,0.582062581365946,0.58254790592021,2.32498696838229,0.999326526413139
"AT1G01610",1,221691,0.439369117041014,0.392608822363819,690,0.582062581365946,0.582427288099213,-2.32151550794151,0.999326526413139
"AT1G01620",1,225665,0.901171532569362,0.433630141842585,690,0.582062581365946,0.582071983429141,-0.253144205944409,0.999326526413139
"AT1G01630",1,229013,0.370237314775808,0.43890527021178,690,0.582062581365946,0.582552363449378,1.88697454536305,0.999326526413139
"AT1G01640",1,230994,0.660702524907446,0.40520193675142,690,0.582062581365946,0.582180066352253,0.932340201130501,0.999326526413139
"AT1G01650",1,232841,0.249660271390431,0.322997446782152,690,0.582062581365946,0.582871318187248,4.03899874433409,0.999326526413139
"AT1G01660",1,240057,0.146053736048136,0.345972189202922,690,0.582062581365946,0.583352825571979,2.2740068432895,0.999326526413139
"AT1G01670",1,242843,0.691910698793238,0.419681506005965,690,0.582062581365946,0.58215832765524,-0.645293615449191,0.999326526413139
"AT1G01680",1,246411,0.147497493784992,0.199543451717365,690,0.582062581365946,0.583343623371529,3.52970487034145,0.999326526413139
"AT1G01690",1,249141,0.407697958612824,0.46430797904817,690,0.582062581365946,0.582480730701868,1.50073098388566,0.999326526413139
"AT1G01695",1,252947,0.359417967826248,0.380676328502416,690,0.582062581365946,0.582574984242277,1.16510176740576,0.999326526413139
"AT1G01700",1,259495,0.323537642323045,0.391724143803539,690,0.582062581365946,0.582657196698161,1.45344060333082,0.999326526413139
"AT1G01710",1,262828,0.317671464484007,0.447038569825541,690,0.582062581365946,0.58267179982258,-2.16929831290327,0.999326526413139
"AT1G01720",1,268330,0.289533048532207,0.359305858836569,690,0.582062581365946,0.582747079268211,-2.98470649457886,0.999326526413139
